DATE,EXPIRY,STRIKE_PRC,TIME_MC,F,MD,MD_Close,N,C,BID,ASK
3/1/2017,0,23800,16:00,22124.5,26/1/2017,23349,17,1,6,8
3/1/2017,0,23600,16:00,22124.5,26/1/2017,23349,17,1,11,12
3/1/2017,0,23400,16:00,22124.5,26/1/2017,23349,17,1,19,20
3/1/2017,0,23200,16:00,22124.5,26/1/2017,23349,17,1,32,33
3/1/2017,0,23000,16:00,22124.5,26/1/2017,23349,17,1,54,55
3/1/2017,0,22600,16:00,22124.5,26/1/2017,23349,17,1,137,139
3/1/2017,0,22600,16:00,22124.5,26/1/2017,23349,17,0,595,618
3/1/2017,0,22400,16:00,22124.5,26/1/2017,23349,17,1,206,208
3/1/2017,0,22400,16:00,22124.5,26/1/2017,23349,17,0,481,483
3/1/2017,0,22200,16:00,22124.5,26/1/2017,23349,17,1,296,300
3/1/2017,0,22200,16:00,22124.5,26/1/2017,23349,17,0,372,374
3/1/2017,0,22000,16:00,22124.5,26/1/2017,23349,17,1,408,410
3/1/2017,0,22800,16:00,22124.5,26/1/2017,23349,17,1,88,89
3/1/2017,0,22000,16:00,22124.5,26/1/2017,23349,17,0,283,286
3/1/2017,0,21800,16:00,22124.5,26/1/2017,23349,17,1,537,543
3/1/2017,0,21800,16:00,22124.5,26/1/2017,23349,17,0,213,215
3/1/2017,0,21600,16:00,22124.5,26/1/2017,23349,17,1,681,689
3/1/2017,0,21600,16:00,22124.5,26/1/2017,23349,17,0,159,161
3/1/2017,0,21400,16:00,22124.5,26/1/2017,23349,17,0,119,120
3/1/2017,0,21200,16:00,22124.5,26/1/2017,23349,17,0,89,90
3/1/2017,0,21000,16:00,22124.5,26/1/2017,23349,17,0,66,67
3/1/2017,0,20800,16:00,22124.5,26/1/2017,23349,17,0,50,51
3/1/2017,0,20600,16:00,22124.5,26/1/2017,23349,17,0,37,38
3/1/2017,0,20400,16:00,22124.5,26/1/2017,23349,17,0,28,29
3/1/2017,0,20200,16:00,22124.5,26/1/2017,23349,17,0,21,22
3/1/2017,0,20000,16:00,22124.5,26/1/2017,23349,17,0,16,17
3/1/2017,0,19800,16:00,22124.5,26/1/2017,23349,17,0,12,13
3/1/2017,0,19600,16:00,22124.5,26/1/2017,23349,17,0,9,10
3/1/2017,0,19400,16:00,22124.5,26/1/2017,23349,17,0,7,8
3/1/2017,0,19200,16:00,22124.5,26/1/2017,23349,17,0,6,7
3/1/2017,1,24600,16:00,22079,27/2/2017,23941.5,36,1,13,15
3/1/2017,1,24400,16:00,22079,27/2/2017,23941.5,36,1,17,22
3/1/2017,1,24200,16:00,22079,27/2/2017,23941.5,36,1,25,29
3/1/2017,1,23800,16:00,22079,27/2/2017,23941.5,36,1,48,52
3/1/2017,1,23600,16:00,22079,27/2/2017,23941.5,36,1,66,73
3/1/2017,1,23400,16:00,22079,27/2/2017,23941.5,36,1,91,99
3/1/2017,1,23000,16:00,22079,27/2/2017,23941.5,36,1,166,173
3/1/2017,1,22800,16:00,22079,27/2/2017,23941.5,36,1,223,228
3/1/2017,1,22600,16:00,22079,27/2/2017,23941.5,36,1,289,294
3/1/2017,1,22400,16:00,22079,27/2/2017,23941.5,36,1,366,375
3/1/2017,1,22400,16:00,22079,27/2/2017,23941.5,36,0,670,700
3/1/2017,1,22200,16:00,22079,27/2/2017,23941.5,36,1,461,468
3/1/2017,1,22200,16:00,22079,27/2/2017,23941.5,36,0,569,601
3/1/2017,1,22000,16:00,22079,27/2/2017,23941.5,36,1,569,578
3/1/2017,1,22000,16:00,22079,27/2/2017,23941.5,36,0,487,495
3/1/2017,1,21800,16:00,22079,27/2/2017,23941.5,36,1,689,698
3/1/2017,1,22600,16:00,22079,27/2/2017,23941.5,36,0,789,829
3/1/2017,1,23200,16:00,22079,27/2/2017,23941.5,36,1,125,131
3/1/2017,1,21800,16:00,22079,27/2/2017,23941.5,36,0,409,419
3/1/2017,1,21600,16:00,22079,27/2/2017,23941.5,36,1,821,831
3/1/2017,1,21600,16:00,22079,27/2/2017,23941.5,36,0,341,347
3/1/2017,1,21400,16:00,22079,27/2/2017,23941.5,36,0,283,289
3/1/2017,1,24000,16:00,22079,27/2/2017,23941.5,36,1,35,40
3/1/2017,1,21200,16:00,22079,27/2/2017,23941.5,36,0,234,242
3/1/2017,1,21000,16:00,22079,27/2/2017,23941.5,36,0,194,201
3/1/2017,1,20800,16:00,22079,27/2/2017,23941.5,36,0,160,167
3/1/2017,1,20600,16:00,22079,27/2/2017,23941.5,36,0,132,137
3/1/2017,1,20400,16:00,22079,27/2/2017,23941.5,36,0,110,115
3/1/2017,1,20200,16:00,22079,27/2/2017,23941.5,36,0,92,96
3/1/2017,1,20000,16:00,22079,27/2/2017,23941.5,36,0,76,79
3/1/2017,1,19800,16:00,22079,27/2/2017,23941.5,36,0,61,66
3/1/2017,1,19600,16:00,22079,27/2/2017,23941.5,36,0,50,57
3/1/2017,1,19400,16:00,22079,27/2/2017,23941.5,36,0,41,48
3/1/2017,1,19200,16:00,22079,27/2/2017,23941.5,36,0,34,39
3/1/2017,1,19000,16:00,22079,27/2/2017,23941.5,36,0,30,33
3/1/2017,1,18600,16:00,22079,27/2/2017,23941.5,36,0,19,26
3/1/2017,1,18200,16:00,22079,27/2/2017,23941.5,36,0,15,19
3/1/2017,1,17800,16:00,22079,27/2/2017,23941.5,36,0,12,14
4/1/2017,0,23800,16:00,22114,26/1/2017,23349,16,1,5,6
4/1/2017,0,23400,16:00,22114,26/1/2017,23349,16,1,13,15
4/1/2017,0,23200,16:00,22114,26/1/2017,23349,16,1,24,25
4/1/2017,0,23000,16:00,22114,26/1/2017,23349,16,1,41,42
4/1/2017,0,22600,16:00,22114,26/1/2017,23349,16,1,115,116
4/1/2017,0,22400,16:00,22114,26/1/2017,23349,16,1,179,181
4/1/2017,0,22400,16:00,22114,26/1/2017,23349,16,0,463,468
4/1/2017,0,22200,16:00,22114,26/1/2017,23349,16,1,266,269
4/1/2017,0,22200,16:00,22114,26/1/2017,23349,16,0,351,355
4/1/2017,0,22000,16:00,22114,26/1/2017,23349,16,1,376,381
4/1/2017,0,22000,16:00,22114,26/1/2017,23349,16,0,262,264
4/1/2017,0,22800,16:00,22114,26/1/2017,23349,16,1,70,71
4/1/2017,0,21800,16:00,22114,26/1/2017,23349,16,1,505,510
4/1/2017,0,21800,16:00,22114,26/1/2017,23349,16,0,192,194
4/1/2017,0,21600,16:00,22114,26/1/2017,23349,16,1,644,662
4/1/2017,0,21600,16:00,22114,26/1/2017,23349,16,0,140,142
4/1/2017,0,23600,16:00,22114,26/1/2017,23349,16,1,8,9
4/1/2017,0,21400,16:00,22114,26/1/2017,23349,16,0,101,103
4/1/2017,0,21200,16:00,22114,26/1/2017,23349,16,0,73,75
4/1/2017,0,21000,16:00,22114,26/1/2017,23349,16,0,53,54
4/1/2017,0,20800,16:00,22114,26/1/2017,23349,16,0,39,40
4/1/2017,0,20600,16:00,22114,26/1/2017,23349,16,0,28,30
4/1/2017,0,20400,16:00,22114,26/1/2017,23349,16,0,21,22
4/1/2017,0,20200,16:00,22114,26/1/2017,23349,16,0,16,17
4/1/2017,0,20000,16:00,22114,26/1/2017,23349,16,0,12,13
4/1/2017,0,19800,16:00,22114,26/1/2017,23349,16,0,9,10
4/1/2017,0,19600,16:00,22114,26/1/2017,23349,16,0,6,7
4/1/2017,0,19400,16:00,22114,26/1/2017,23349,16,0,5,6
4/1/2017,1,25000,16:00,22068.5,27/2/2017,23941.5,35,1,5,7
4/1/2017,1,24800,16:00,22068.5,27/2/2017,23941.5,35,1,8,11
4/1/2017,1,24600,16:00,22068.5,27/2/2017,23941.5,35,1,11,14
4/1/2017,1,24200,16:00,22068.5,27/2/2017,23941.5,35,1,20,23
4/1/2017,1,24000,16:00,22068.5,27/2/2017,23941.5,35,1,29,33
