"","x"
"1",77434
"2",66009
"3",71801
"4",66985
"5",44296
"6",38293
"7",62981
"8",35286
"9",52244
"10",64223
"11",65356
"12",42094
"13",50289
"14",53472
"15",37452
"16",65711
"17",54626
"18",75466
"19",73025
"20",58761
"21",65424
"22",50947
"23",66019
"24",56508
"25",46178
"26",70097
"27",74309
"28",67447
"29",55175
"30",44680
"31",64900
"32",41017
"33",55049
"34",68843
"35",73464
"36",68481
"37",73018
"38",65194
"39",83252
"40",69200
"41",69405
"42",54759
"43",68490
"44",69416
"45",68361
"46",68805
"47",37452
"48",69184
"49",72492
"50",77722
"51",77884
"52",72617
"53",73901
"54",72351
"55",64116
"56",72861
"57",60292
"58",72420
"59",78457
"60",65546
"61",73002
"62",56671
"63",47230
"64",61025
"65",80257
"66",66879
"67",73025
"68",73310
"69",72192
"70",50015
"71",73169
"72",46178
"73",66048
"74",72981
"75",64208
"76",73295
"77",73358
"78",77481
"79",72159
"80",60637
"81",64104
"82",65569
"83",66944
"84",66944
"85",59869
"86",66944
"87",66944
"88",65553
"89",66944
"90",72420
"91",66944
"92",77354
"93",66944
"94",66944
"95",68306
"96",71957
"97",64006
"98",45653
"99",68481
"100",61535
"101",63406
"102",54328
"103",61603
"104",73118
"105",54759
"106",62170
"107",60292
"108",63925
"109",50289
"110",68498
"111",50469
"112",64902
"113",72418
"114",64006
"115",73018
"116",45702
"117",73018
"118",44296
"119",75811
"120",57659
"121",73118
"122",72718
"123",72618
"124",68498
"125",68361
"126",51262
"127",72318
"128",72318
"129",62872
"130",66009
"131",84431
"132",64127
"133",73310
"134",78189
"135",62981
"136",63554
"137",65636
"138",62170
"139",69416
"140",63878
"141",65621
"142",63467
"143",61311
"144",68498
"145",65956
"146",75466
"147",62078
"148",74596
"149",75684
"150",56079
"151",75811
"152",61603
"153",78305
"154",75951
"155",75218
"156",68661
"157",64900
"158",75218
"159",78406
"160",76098
"161",64900
"162",74159
"163",76928
"164",66944
"165",76438
"166",77549
"167",65557
"168",56971
"169",77813
"170",74309
"171",77897
"172",77923
"173",64214
"174",59854
"175",77513
"176",71957
"177",59870
"178",77722
"179",59869
"180",71801
"181",59869
"182",77549
"183",59870
"184",73740
"185",59854
"186",65621
"187",59869
"188",73295
"189",66944
"190",59854
"191",64183
"192",59692
"193",78357
"194",56769
"195",56816
"196",72617
"197",60292
"198",63593
"199",56828
"200",56971
"201",66944
"202",56657
"203",59869
"204",56935
"205",78138
"206",56671
"207",73884
"208",56672
"209",72418
"210",68843
"211",45653
"212",56816
"213",64351
"214",65194
"215",68498
"216",69061
"217",63554
"218",68063
"219",50925
"220",65454
"221",51262
"222",53472
"223",50469
"224",77924
"225",78357
"226",68203
"227",77604
"228",74596
"229",82893
"230",79025
"231",79142
"232",62141
"233",62428
"234",68002
"235",78457
"236",47228
"237",60292
"238",77481
"239",78406
"240",41017
"241",72949
"242",64112
"243",73464
"244",73344
"245",61535
"246",73901
"247",78389
"248",73740
"249",77813
"250",56896
"251",74320
"252",56935
"253",73002
"254",74307
"255",73884
"256",60292
"257",64104
"258",64112
"259",60292
"260",76438
"261",64162
"262",66944
"263",64116
"264",65589
"265",59854
"266",64223
"267",64208
"268",63878
"269",64214
"270",66273
"271",64183
"272",56672
"273",60292
"274",77687
"275",60292
"276",73344
"277",75684
"278",60292
"279",60292
"280",56828
"281",60292
"282",72618
"283",60292
"284",77923
"285",60292
"286",66944
"287",47230
"288",60292
"289",64900
"290",51300
"291",59513
"292",64900
"293",66944
"294",50015
"295",56508
"296",35286
"297",64900
"298",72981
"299",64900
"300",66064
"301",64900
"302",67892
"303",64900
"304",64900
"305",77434
"306",65530
"307",66944
"308",78216
"309",68341
"310",50947
"311",78189
"312",78087
"313",72718
"314",78174
"315",77897
"316",42094
"317",83485
"318",78164
"319",61311
"320",77924
"321",59870
"322",77687
"323",77884
"324",65619
"325",78441
"326",60292
"327",78389
"328",72861
"329",78305
"330",56657
"331",74320
"332",77354
"333",78138
"334",62632
"335",77513
"336",69184
"337",56373
"338",56769
"339",62078
"340",45702
"341",68344
"342",79025
"343",57490
"344",66659
"345",62428
"346",75951
"347",64900
"348",55175
"349",55811
"350",62632
"351",68681
"352",60637
"353",62872
"354",65530
"355",59869
"356",64900
"357",65424
"358",65491
"359",38293
"360",65553
"361",78087
"362",65636
