,game_date,home_team,Stadium,week,away_team,weekday,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_city,away_team_city,total_attendance,home_attendance,away_attendance,weekly_attendance,wins,loss,points_for,points_against,points_differential,margin_of_victory,strength_of_schedule,simple_rating,offensive_ranking,defensive_ranking,playoffs,superbowl_winner,Capacity,Turf,Temperature,EstimatedCondition
1,18/12/2016,20,32,15,14,4,13:00:00,34,6,411,0,282,3,19,14,1084502,534289,550213,66820,8,8,327,307,20,1.3,-0.3,0.9,-2.6,3.6,1,1,66200,1,-13,2
2,31/12/2017,20,32,17,6,4,13:00:00,23,10,327,0,201,0,19,6,1099905,533769,566136,66802,13,3,382,252,130,8.1,1,9.1,2.3,6.8,2,1,66200,1,-13,2
3,17/12/2000,20,32,16,12,4,13:00:00,33,28,434,0,400,2,19,12,1029262,513322,515940,64183,11,5,397,371,26,1.6,0.3,1.9,4.3,-2.3,2,1,66200,1,-4,4
4,29/12/2013,20,32,17,11,4,13:05:00,14,13,345,2,245,0,19,11,1099551,531653,567898,64134,5,10,391,480,-89,-5.6,-1.1,-6.6,0.2,-6.9,1,1,66200,1,-2.92,2
5,15/12/2013,20,32,15,26,4,13:02:00,48,30,455,1,475,1,19,24,1099551,531653,567898,64087,5,10,391,480,-89,-5.6,-1.1,-6.6,0.2,-6.9,1,1,66200,1,-0.04,2
6,18/12/2016,16,3,15,33,4,13:00:00,19,17,389,3,316,1,16,31,1115214,586624,528590,68084,12,4,389,311,78,4.9,0.7,5.6,1.2,4.4,2,1,76416,3,1.04,2
7,7/12/2008,22,28,14,2,4,13:02:00,29,25,414,0,414,1,21,2,1125938,573876,552062,70011,8,8,463,393,70,4.4,-0.3,4,6.8,-2.8,1,1,74295,2,1.4,2
8,26/11/2017,24,20,12,5,4,13:00:00,35,27,299,0,391,1,22,5,1143358,620496,522862,77562,5,11,298,382,-84,-5.3,0.3,-4.9,-2.9,-2.1,1,1,82500,2,1.94,2
9,7/12/2008,12,13,14,13,4,13:02:00,24,21,549,4,387,1,12,13,1089433,565460,523973,70245,6,10,419,380,39,2.4,0.5,2.9,4.1,-1.2,1,1,81441,3,3.02,2
10,22/12/2008,6,27,16,12,2,20:40:00,20,17,210,2,325,2,6,12,1028406,496276,532130,62151,9,7,375,350,25,1.6,0.5,2.1,1.1,1,1,1,61500,3,3.92,2
11,18/12/2005,20,32,15,27,4,13:05:00,18,3,275,1,185,3,19,25,1063788,511960,551828,64136,9,7,306,344,-38,-2.4,-1.1,-3.5,-1.4,-2.1,1,1,66200,1,3.92,2
12,19/12/2004,11,9,15,20,4,13:03:00,28,27,461,1,463,3,11,19,1043481,499162,544319,62337,6,10,296,350,-54,-3.4,-1.8,-5.2,-3.8,-1.4,1,1,65000,2,6.08,2
13,24/12/2004,20,32,16,12,1,15:00:00,34,31,460,1,416,0,19,12,1045505,512969,532536,64311,8,8,405,395,10,0.6,-2.3,-1.7,3,-4.7,2,1,66200,1,6.8,2
14,17/12/2000,16,3,16,10,4,13:00:00,20,7,424,2,278,1,16,10,1115272,631365,483907,78406,7,9,355,354,1,0.1,0.6,0.6,0.1,0.6,1,1,76416,3,6.98,2
15,31/12/2017,27,1,17,8,4,13:00:00,28,24,348,2,374,2,25,8,1035491,499768,535723,50704,13,3,406,308,98,6.1,-1.1,5,3.2,1.8,2,1,68400,3,8.06,2
16,8/12/2013,12,13,14,2,4,13:02:00,22,21,334,2,285,2,12,2,1191205,623577,567628,77550,8,7,417,428,-11,-0.7,-2.4,-3.1,0.5,-3.6,2,1,81441,3,8.06,2
17,16/12/2013,11,9,15,3,2,20:40:00,18,16,305,0,349,3,11,3,1053841,510369,543472,64742,7,9,395,376,19,1.2,-2.8,-1.6,-1.2,-0.5,1,1,65000,2,8.6,2
18,19/12/2004,6,27,15,13,4,13:02:00,24,5,314,0,203,4,6,13,1037347,495706,541641,62122,5,11,231,331,-100,-6.3,-2,-8.2,-8.5,0.3,1,1,61500,3,8.6,2
19,21/12/2008,20,32,16,2,4,16:15:00,24,17,222,0,350,4,19,2,1023776,506136,517640,62889,10,6,379,333,46,2.9,1.2,4,1.1,2.9,2,1,66200,1,8.6,2
20,31/12/2017,14,16,17,13,4,13:00:00,22,13,250,0,209,1,14,13,1022042,507525,514517,60557,4,12,263,404,-141,-8.8,-1.3,-10.1,-6.1,-4,1,1,67000,1,8.96,2
21,18/12/2016,6,27,15,12,4,13:00:00,30,27,451,0,449,4,6,12,1060607,482951,577656,61137,3,13,279,399,-120,-7.5,0,-7.5,-5.2,-2.3,1,1,61500,3,8.96,2
22,21/12/2008,16,3,16,19,4,13:00:00,38,31,403,2,492,4,16,18,1142228,592622,549606,73689,2,14,291,440,-149,-9.3,0.1,-9.2,-3.9,-5.3,1,1,76416,3,10.04,2
